title,url,img,category
"WHO sounds alarm over human cases of bird flu, says ‘looking for new hosts’",/world-news/human-cases-of-bird-flu-an-enormous-concern-who-101713435339252.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/human_bird_flu_world_health_organization_1713435402856_1713435403020.jpg,world-news
Infosys Q4 Results Live: Infosys to declare quarterly earnings shortly,/business/infosys-q4-results-live-narayana-murthy-profit-revenue-growth-share-price-latest-updates-today-18-april-2024-101713427168883.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/2021-07-14T105528Z_1_LYNXMPEH6D0J0_RTROPTP_3_INFOS_1713427279068_1713427279262.JPG,business
Mamata claims Ram Navami clash was ‘pre-planned’: ‘DIG of Murshidabad…’,/india-news/after-bjp-attack-mamata-banerjee-claims-ram-navami-clash-in-murshidabad-preplanned-101713429671996.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/PTI04-17-2024-000358B-0_1713430045319_1713430077930.jpg,india-news
‘Pause before you punch’: Anand Mahindra tells Sanjiv Kapoor on Mumbai vs Dubai,/trending/pause-before-you-punch-anand-mahindra-tells-sanjiv-kapoor-who-slammed-him-for-mumbai-vs-dubai-flood-post-101713428043991.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/Anand_Mahindra_Sanjiv_Kapoor_1713429000359_1713429048022.png,trending
‘MI’s captain didn't change for 10 years… I know how to succeed in IPL': Rohit,/cricket/pbks-vs-mi-the-captain-didnt-change-for-10-years-i-know-how-to-succeed-in-ipl-rohit-sharma-on-mumbai-indians-captaincy-101713430114717.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/CRICKET-IND-IPL-T20-MUMBAI-CHENNAI-39_1713430592601_1713430744474.jpg,cricket
Step inside Dia Mirza's home that blurs the lines between indoors and outdoors,/entertainment/bollywood/step-inside-dia-mirza-house-pics-beautiful-mumbai-home-indoor-outdoor-living-101713431269033.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/dia_mirza_1713434437159_1713434437342.png,entertainment
PSEB 10th Result 2024 Live: Ludhiana's Aditi gets 100% in Punjab Class 10 result,/education/board-exams/pseb-10th-result-2024-live-punjab-board-class-10-result-pseb-ac-in-indiaresults-link-how-to-check-toppers-latest-news-101713406188926.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/pseb_punjab_board_10th_result_2024_1713428607254_1713428618810.png,education
"As expected, Sandeep Reddy Vanga is fuming after Adil Hussain dissed Kabir Singh",/entertainment/bollywood/sandeep-reddy-vanga-is-fuming-after-adil-hussain-dissed-kabir-singh-101713434663443.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/sandeep_reddy_vanga_1713434690626_1713434701979.jpg,entertainment
"‘Between Jaiswal, Gill. Maybe Kohli…’: Morgan, Zaheer make sizzling prediction",/cricket/between-yashasvi-jaiswal-shubman-gill-maybe-virat-kohli-eoin-morgan-zaheer-khan-make-sizzling-t20-wc-prediction-101713428491898.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/PTI12-26-2023-000074B-0_1705155363597_1713428645134.jpg,cricket
India's T20 World Cup squad: BCCI source reveals 10 players certain to be picked,/cricket/india-squad-for-t20-world-cup-bcci-source-reveals-10-players-certain-to-be-picked-virat-kohli-and-hardik-pandya-101713411738390.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/PTI10-11-2023-000422B-0_1704799802079_1713412035368.jpg,cricket
What is snail mucin and what are its benefits? Exploring the skincare craze,/lifestyle/health/what-is-snail-mucin-and-what-are-its-benefits-exploring-the-popular-skincare-craze-101713434954744.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/558f04d8-f2f3-11ec-91b5-54ec88d6cb87_1655989013617_1713436065893.jpg,lifestyle
Let's select India's T20 World Cup squad: Who gets picked and who misses out,/cricket/lets-select-indias-t20-world-cup-squad-who-gets-picked-and-who-misses-out-101713422949146.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/india-overall-getty_1713423475348_1713423480629.jpg,cricket
"Gill's sight leaves woman spellbound in team hotel, video spreads like wildfire",/cricket/shubman-gills-sight-leaves-woman-spellbound-in-gt-team-hotel-video-spreads-like-wildfire-101713420750660.html,https://www.hindustantimes.com/ht-img/img/2024/04/18/148x111/wqwwqwqwq_1713421402056_1713421415662.jpg,cricket
